restraunt_name,location,contact,dining_ratings,delivery_ratings,menu_name,menu_description,menu_price,menu_rating
The Chef's Secret,"Phagwara Locality, Phagwara",9130700019,-1,4.1,White Sauce Pasta,N/A,110.0,-1
The Chef's Secret,"Phagwara Locality, Phagwara",9130700019,-1,4.1,Chef Special Pasta,N/A,130.0,-1
The Chef's Secret,"Phagwara Locality, Phagwara",9130700019,-1,4.1,Crispy Veg Burger,N/A,40.0,-1
The Chef's Secret,"Phagwara Locality, Phagwara",9130700019,-1,4.1,The Whooper Burger,N/A,70.0,-1
The Chef's Secret,"Phagwara Locality, Phagwara",9130700019,-1,4.1,Spicy Paneer King Burger,N/A,80.0,-1
The Chef's Secret,"Phagwara Locality, Phagwara",9130700019,-1,4.1,Chef Special Burger,N/A,90.0,-1
The Chef's Secret,"Phagwara Locality, Phagwara",9130700019,-1,4.1,Egg Burger,N/A,40.0,-1
The Mood Changer,"Phagwara Locality, Phagwara",9646190904,3.5,4.1,Aloo Matar,N/A,260.0,-1
The Mood Changer,"Phagwara Locality, Phagwara",9646190904,3.5,4.1,Jeera Aloo,N/A,210.0,-1
The Mood Changer,"Phagwara Locality, Phagwara",9646190904,3.5,4.1,Hot Garlic Cheese Tomato,N/A,390.0,-1
The Mood Changer,"Phagwara Locality, Phagwara",9646190904,3.5,4.1,Paneer Punjabi,N/A,390.0,-1
The Mood Changer,"Phagwara Locality, Phagwara",9646190904,3.5,4.1,Paneer Taka Tak,N/A,390.0,-1
The Mood Changer,"Phagwara Locality, Phagwara",9646190904,3.5,4.1,Butter Chicken,N/A,330.0,-1
The Mood Changer,"Phagwara Locality, Phagwara",9646190904,3.5,4.1,Makhanwala Special Chicken,N/A,350.0,-1
The Mood Changer,"Phagwara Locality, Phagwara",9646190904,3.5,4.1,Kadhai Chicken,N/A,330.0,-1
Pizza Station,"Phagwara Locality, Phagwara",8054548010,-1,3.7,Cheese Pizza,N/A,200.0,-1
Pizza Station,"Phagwara Locality, Phagwara",8054548010,-1,3.7,Chicken Pizza,N/A,250.0,-1
Pizza Station,"Phagwara Locality, Phagwara",8054548010,-1,3.7,Chicken Veggie Pizza,N/A,260.0,-1
Pizza Station,"Phagwara Locality, Phagwara",8054548010,-1,3.7,Spicy Chicken Pizza,N/A,260.0,-1
Pizza Station,"Phagwara Locality, Phagwara",8054548010,-1,3.7,Station Special Chicken Pizza,[Chef's Special],280.0,-1
Pizza Station,"Phagwara Locality, Phagwara",8054548010,-1,3.7,Cheese Chicken Pizza,N/A,250.0,-1
Punjabi Twist,"Phagwara Locality, Phagwara",9855025566,-1,4.0,Chicken Malai Tikka,"Tender pieces of boneless chicken marinated in a unique blend of yogurt, cream ...",290.0,-1
Punjabi Twist,"Phagwara Locality, Phagwara",9855025566,-1,4.0,Chicken Tikka Achari,N/A,300.0,-1
Punjabi Twist,"Phagwara Locality, Phagwara",9855025566,-1,4.0,Chicken Kastoori Kebab,N/A,300.0,-1
Punjabi Twist,"Phagwara Locality, Phagwara",9855025566,-1,4.0,Chicken Hariyali Tikka,"Tender pieces of boneless chicken marinated in a unique blend of yogurt, cream ...",300.0,-1
Punjabi Twist,"Phagwara Locality, Phagwara",9855025566,-1,4.0,Chicken Seekh Kebab,N/A,250.0,-1
Punjabi Twist,"Phagwara Locality, Phagwara",9855025566,-1,4.0,Chicken Chilli,N/A,350.0,-1
Punjabi Twist,"Phagwara Locality, Phagwara",9855025566,-1,4.0,Lemon Chicken,Its is a Chinese cuisine consists of pieces of chicken that is sauteed ...,340.0,-1
Pizza Country,"Phagwara Locality, Phagwara",8727902073,3.4,4.2,Aloo Tikki Burger..,N/A,65.71,4.2
A One Paratha House,"Phagwara Locality, Phagwara",9888576764,-1,4.3,Yummy Rajma with Rice,N/A,127.0,4.3
A One Paratha House,"Phagwara Locality, Phagwara",9888576764,-1,4.3,Plain Makki ki Chapati,N/A,51.0,4.9
A One Paratha House,"Phagwara Locality, Phagwara",9888576764,-1,4.3,Gajar Matar [Half],N/A,126.0,-1
A One Paratha House,"Phagwara Locality, Phagwara",9888576764,-1,4.3,Yellow Dal [Half],N/A,131.0,4.6
A One Paratha House,"Phagwara Locality, Phagwara",9888576764,-1,4.3,Aloo Sabzi,N/A,121.0,4.2
Param Restaurant's,"Phagwara Locality, Phagwara",9530907676,4.8,4.1,Cream Salad,N/A,110.0,-1
Param Restaurant's,"Phagwara Locality, Phagwara",9530907676,4.8,4.1,Russian Salad,N/A,120.0,-1
Param Restaurant's,"Phagwara Locality, Phagwara",9530907676,4.8,4.1,Paneer Tikka,Grilled Cottage Cheese With Cream Is An Appetizer Made By Marinating Paneer/Cottage Cheese ...,260.0,-1
Param Restaurant's,"Phagwara Locality, Phagwara",9530907676,4.8,4.1,Paneer Malai Tikka,Indian Cottage Cheese (paneer) is cooked in soft and creamy marination with gentle ...,260.0,-1
The Chef's Secret,"Phagwara Locality, Phagwara",9130700019,-1,4.1,Spicy Chicken Burger,N/A,60.0,-1
The Chef's Secret,"Phagwara Locality, Phagwara",9130700019,-1,4.1,Ham Burger,N/A,70.0,-1
The Chef's Secret,"Phagwara Locality, Phagwara",9130700019,-1,4.1,Mixed Veg Sandwich,N/A,90.0,-1
The Chef's Secret,"Phagwara Locality, Phagwara",9130700019,-1,4.1,Paneer Makhani Sandwich,N/A,120.0,-1
The Mood Changer,"Phagwara Locality, Phagwara",9646190904,3.5,4.1,Rara Chicken,N/A,370.0,-1
The Mood Changer,"Phagwara Locality, Phagwara",9646190904,3.5,4.1,Cream Chicken,N/A,370.0,-1
The Mood Changer,"Phagwara Locality, Phagwara",9646190904,3.5,4.1,Chicken Do Pyaaza,N/A,330.0,-1
The Mood Changer,"Phagwara Locality, Phagwara",9646190904,3.5,4.1,Home Made Chicken,N/A,330.0,-1
The Mood Changer,"Phagwara Locality, Phagwara",9646190904,3.5,4.1,Chicken Tikka Masala,N/A,370.0,-1
Pizza Station,"Phagwara Locality, Phagwara",8054548010,-1,3.7,Chilli Chicken Pizza,N/A,250.0,-1
Pizza Station,"Phagwara Locality, Phagwara",8054548010,-1,3.7,Veg Mixed Pasta,N/A,180.0,-1
Pizza Station,"Phagwara Locality, Phagwara",8054548010,-1,3.7,White Sauce Pasta,N/A,200.0,-1
Punjabi Twist,"Phagwara Locality, Phagwara",9855025566,-1,4.0,Golden Fried Chicken,N/A,360.0,-1
Punjabi Twist,"Phagwara Locality, Phagwara",9855025566,-1,4.0,Butter Chicken,Spicy and yummy chicken curry cooked with freshly ground special kadhai masala.,340.0,-1
Punjabi Twist,"Phagwara Locality, Phagwara",9855025566,-1,4.0,Kadhai Chicken,Succulent chicken chunks cooked in a tangy gravy of tomatoes and onion mixed ...,340.0,2.6
Punjabi Twist,"Phagwara Locality, Phagwara",9855025566,-1,4.0,Rara Chicken,"Flavorful chicken in a thick keema gravy, spiced up with cardamom, yogurt and ...",400.0,-1
Punjabi Twist,"Phagwara Locality, Phagwara",9855025566,-1,4.0,Chilli Chicken Gravy,N/A,340.0,-1
Punjabi Twist,"Phagwara Locality, Phagwara",9855025566,-1,4.0,Chicken Mirch Masala,Chicken cooked and served in a spicy thick gravy that is made with ...,340.0,-1
Punjabi Twist,"Phagwara Locality, Phagwara",9855025566,-1,4.0,Boneless Butter Chicken,N/A,360.0,3.8
Pizza Country,"Phagwara Locality, Phagwara",8727902073,3.4,4.2,Cheesy Burger,N/A,99.05,4.6
Pizza Country,"Phagwara Locality, Phagwara",8727902073,3.4,4.2,Delight Burger,"Herb tikki, onion , capsicum,jalapenos, tomato, cucumber",121.9,-1
Pizza Country,"Phagwara Locality, Phagwara",8727902073,3.4,4.2,King Burger,N/A,141.9,4.1
Pizza Country,"Phagwara Locality, Phagwara",8727902073,3.4,4.2,Mac N Cheese Burger,N/A,129.52,4.3
Pizza Country,"Phagwara Locality, Phagwara",8727902073,3.4,4.2,Paneer Burger,N/A,129.52,4.3
Pizza Country,"Phagwara Locality, Phagwara",8727902073,3.4,4.2,Spicy Mix Burger,N/A,114.29,4.1
Pizza Country,"Phagwara Locality, Phagwara",8727902073,3.4,4.2,Veggie Burger,N/A,83.81,3.9
A One Paratha House,"Phagwara Locality, Phagwara",9888576764,-1,4.3,Petha Sabzi,N/A,119.0,3.6
A One Paratha House,"Phagwara Locality, Phagwara",9888576764,-1,4.3,Aloo Soyaben Sabzi [Half],N/A,119.0,-1
A One Paratha House,"Phagwara Locality, Phagwara",9888576764,-1,4.3,Dahi Tadka [Half],N/A,119.0,-1
A One Paratha House,"Phagwara Locality, Phagwara",9888576764,-1,4.3,Paneer Bhurji,N/A,177.0,-1
A One Paratha House,"Phagwara Locality, Phagwara",9888576764,-1,4.3,Sep Poha,N/A,124.0,-1
A One Paratha House,"Phagwara Locality, Phagwara",9888576764,-1,4.3,Aloo Palak Sabji,N/A,110.0,-1
A One Paratha House,"Phagwara Locality, Phagwara",9888576764,-1,4.3,Veg Biryani,N/A,139.0,3.4
A One Paratha House,"Phagwara Locality, Phagwara",9888576764,-1,4.3,Palak Paneer [Half],N/A,149.0,-1
Param Restaurant's,"Phagwara Locality, Phagwara",9530907676,4.8,4.1,Mushroom Tikka,N/A,220.0,-1
Param Restaurant's,"Phagwara Locality, Phagwara",9530907676,4.8,4.1,Mushroom Malai Tikka,N/A,240.0,-1
Param Restaurant's,"Phagwara Locality, Phagwara",9530907676,4.8,4.1,Chicken Tandoori,N/A,260.0,-1
Param Restaurant's,"Phagwara Locality, Phagwara",9530907676,4.8,4.1,Chicken Achari,N/A,260.0,-1
Param Restaurant's,"Phagwara Locality, Phagwara",9530907676,4.8,4.1,Chicken Afghani,N/A,265.0,-1
Param Restaurant's,"Phagwara Locality, Phagwara",9530907676,4.8,4.1,Chicken Tikka,Grilled Cottage Cheese With Cream Is An Appetizer Made By Marinating Paneer/Cottage Cheese ...,270.0,-1
The Chef's Secret,"Phagwara Locality, Phagwara",9130700019,-1,4.1,Chef Special Sandwich,N/A,140.0,-1
The Chef's Secret,"Phagwara Locality, Phagwara",9130700019,-1,4.1,Egg Sandwich,N/A,100.0,-1
The Chef's Secret,"Phagwara Locality, Phagwara",9130700019,-1,4.1,Chicken Tikka Sandwich,N/A,150.0,-1
The Chef's Secret,"Phagwara Locality, Phagwara",9130700019,-1,4.1,Aloo Patty Sub,N/A,90.0,-1
The Chef's Secret,"Phagwara Locality, Phagwara",9130700019,-1,4.1,Special Paneer Sub,N/A,120.0,-1
The Chef's Secret,"Phagwara Locality, Phagwara",9130700019,-1,4.1,Chicken Tikka Sub,N/A,140.0,-1
The Chef's Secret,"Phagwara Locality, Phagwara",9130700019,-1,4.1,Aloo Patty Wrap,N/A,90.0,-1
The Chef's Secret,"Phagwara Locality, Phagwara",9130700019,-1,4.1,Spicy Paneer Wrap,N/A,110.0,-1
The Mood Changer,"Phagwara Locality, Phagwara",9646190904,3.5,4.1,Lemon Chicken,N/A,360.0,-1
The Mood Changer,"Phagwara Locality, Phagwara",9646190904,3.5,4.1,Chicken Handi,N/A,360.0,-1
The Mood Changer,"Phagwara Locality, Phagwara",9646190904,3.5,4.1,Palak Chicken,N/A,360.0,-1
The Mood Changer,"Phagwara Locality, Phagwara",9646190904,3.5,4.1,Black Pepper Chicken,N/A,360.0,-1
The Mood Changer,"Phagwara Locality, Phagwara",9646190904,3.5,4.1,Chicken Lababdar,N/A,390.0,-1
The Mood Changer,"Phagwara Locality, Phagwara",9646190904,3.5,4.1,Tangdi Chicken Gravy,N/A,390.0,-1
The Mood Changer,"Phagwara Locality, Phagwara",9646190904,3.5,4.1,Tawa Chicken,N/A,470.0,-1
